ID_Cliente,Edad,Género,Trabajo,Estado_Civil,Región,Ingreso_Anual,Tipo_Vehículo,Prima_Seguros,Número_Siniestros,Cliente_Fiel,Actividad_Compra
1,56,Masculino,Abogado,Soltero,Oeste,36625,Moto,242,0,Sí,Alta
2,69,Femenino,Desempleado,Soltero,Este,42076,Coche,1064,0,Sí,Alta
3,46,Masculino,Administrativo,Casado,Este,79805,Moto,1468,2,Sí,Alta
4,32,Femenino,Desempleado,Soltero,Oeste,59605,Moto,1510,2,Sí,Alta
5,60,Masculino,Abogado,Casado,Oeste,54121,Moto,1578,1,No,Media
6,25,Masculino,Administrativo,Divorciado,Oeste,80101,Coche,984,0,Sí,Baja
7,38,Femenino,Comerciante,Divorciado,Sur,46433,SUV,675,0,Sí,Media
8,56,Masculino,Abogado,Soltero,Oeste,58309,Coche,282,1,No,Media
9,36,Masculino,Médico,Casado,Norte,82468,Moto,1333,0,Sí,Baja
10,40,Masculino,Profesor,Divorciado,Este,59254,Coche,389,2,Sí,Alta
11,28,Masculino,Ingeniero,Casado,Sur,82293,Furgoneta,999,0,Sí,Baja
12,28,Masculino,Desempleado,Casado,Oeste,52853,SUV,1135,1,No,Media
13,41,Masculino,Estudiante,Soltero,Sur,53405,Coche,450,1,Sí,Media
14,70,Femenino,Estudiante,Divorciado,Oeste,81652,Furgoneta,1947,0,Sí,Media
15,53,Masculino,Comerciante,Soltero,Sur,58527,SUV,490,1,Sí,Media
16,57,Masculino,Administrativo,Soltero,Este,15492,Furgoneta,1868,2,Sí,Alta
17,41,Femenino,Estudiante,Divorciado,Este,23811,SUV,1424,1,Sí,Media
18,20,Femenino,Médico,Divorciado,Norte,39272,Coche,525,0,Sí,Alta
19,39,Femenino,Desempleado,Casado,Norte,87010,Furgoneta,1734,0,Sí,Baja
20,70,Femenino,Abogado,Divorciado,Oeste,62153,Moto,1632,1,No,Media
21,19,Femenino,Médico,Casado,Este,69110,Furgoneta,1830,0,Sí,Alta
22,41,Femenino,Comerciante,Casado,Sur,28979,SUV,1036,0,Sí,Media
23,61,Femenino,Médico,Casado,Sur,43328,Coche,707,2,Sí,Alta
24,47,Masculino,Abogado,Divorciado,Sur,27867,SUV,930,1,Sí,Media
25,55,Masculino,Profesor,Soltero,Norte,74234,Furgoneta,1824,0,No,Baja
26,19,Femenino,Comerciante,Casado,Sur,40851,Furgoneta,271,1,Sí,Media
27,38,Masculino,Profesor,Soltero,Norte,46279,Moto,1470,1,Sí,Alta
28,50,Masculino,Ingeniero,Soltero,Norte,88402,Coche,840,0,No,Media
29,29,Masculino,Profesor,Divorciado,Oeste,30449,Coche,1947,1,Sí,Media
30,39,Femenino,Ingeniero,Soltero,Sur,20451,Furgoneta,1139,2,Sí,Baja
31,61,Femenino,Ingeniero,Soltero,Sur,56316,Coche,807,0,Sí,Alta
32,42,Masculino,Profesor,Divorciado,Este,78064,Moto,1810,0,Sí,Media
33,66,Femenino,Comerciante,Casado,Oeste,78761,SUV,765,0,Sí,Media
34,44,Masculino,Administrativo,Soltero,Este,53870,Coche,1567,0,Sí,Alta
35,59,Masculino,Abogado,Divorciado,Oeste,45873,Furgoneta,253,0,Sí,Media
36,45,Masculino,Médico,Soltero,Sur,73627,SUV,1953,0,No,Media
37,33,Masculino,Médico,Soltero,Norte,81155,SUV,727,0,Sí,Baja
38,32,Femenino,Abogado,Casado,Norte,40372,Moto,810,2,Sí,Baja
39,64,Femenino,Desempleado,Soltero,Norte,18642,Furgoneta,1755,0,Sí,Media
40,68,Femenino,Desempleado,Divorciado,Norte,43001,Coche,1781,1,Sí,Media
41,61,Masculino,Ingeniero,Soltero,Norte,49064,Furgoneta,392,2,Sí,Alta
42,72,Femenino,Ingeniero,Casado,Este,29122,SUV,257,1,No,Baja
43,69,Masculino,Comerciante,Casado,Oeste,39820,Furgoneta,1660,2,No,Baja
44,74,Femenino,Estudiante,Divorciado,Sur,83431,Coche,1334,0,No,Baja
45,20,Masculino,Profesor,Casado,Este,70745,Coche,328,0,No,Media
46,54,Masculino,Ingeniero,Soltero,Oeste,65081,Moto,905,1,Sí,Media
47,68,Masculino,Médico,Casado,Norte,85902,Coche,1051,1,Sí,Baja
48,24,Femenino,Comerciante,Divorciado,Oeste,23711,Coche,1549,0,Sí,Media
49,38,Femenino,Profesor,Casado,Oeste,33793,Furgoneta,207,0,Sí,Media
50,26,Femenino,Comerciante,Casado,Norte,23199,Furgoneta,228,1,No,Media
51,56,Femenino,Profesor,Casado,Norte,51191,SUV,1335,0,Sí,Alta
52,35,Masculino,Profesor,Divorciado,Norte,25211,Moto,1146,0,No,Alta
53,21,Femenino,Abogado,Casado,Sur,78069,Furgoneta,1896,0,Sí,Media
54,42,Femenino,Ingeniero,Casado,Norte,71746,Coche,330,0,No,Media
55,31,Masculino,Administrativo,Soltero,Sur,36542,SUV,387,1,No,Baja
56,67,Masculino,Comerciante,Divorciado,Norte,46312,Furgoneta,1898,0,No,Alta
57,26,Masculino,Administrativo,Casado,Sur,60242,Moto,908,2,No,Alta
58,43,Femenino,Comerciante,Divorciado,Oeste,70388,Moto,1698,0,Sí,Alta
59,70,Masculino,Abogado,Casado,Este,42691,SUV,1587,3,No,Alta
60,19,Masculino,Médico,Casado,Oeste,37601,SUV,1427,0,No,Alta
61,37,Masculino,Administrativo,Casado,Oeste,33020,SUV,411,1,No,Media
62,45,Femenino,Médico,Soltero,Norte,23155,SUV,1844,0,No,Media
63,64,Masculino,Desempleado,Soltero,Sur,84119,SUV,475,1,No,Media
64,24,Femenino,Ingeniero,Soltero,Este,51777,Coche,1296,0,No,Baja
65,61,Femenino,Ingeniero,Divorciado,Norte,34710,Coche,1902,1,Sí,Media
66,25,Masculino,Estudiante,Divorciado,Norte,39532,Furgoneta,1995,0,No,Alta
67,64,Masculino,Abogado,Soltero,Norte,33601,Moto,442,1,Sí,Alta
68,52,Femenino,Médico,Divorciado,Oeste,78227,Coche,1325,0,Sí,Baja
69,31,Masculino,Profesor,Casado,Sur,19967,Coche,1186,1,Sí,Media
